JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Aurora","1-480:536:542",155.587,155.603,155.603,6603.6,0.0161881,0,6448,"0.54:0.75:0.00:0.70:0.60:0.65","None"
2,"COMPLETED","Frontier","Aurora","481-535:537-541:543-1141:2049-2051:2352-2355:2358-2361",241.951,241.977,241.977,5785.98,0.0260195,0,5544,"0.54:0.73:0.00:0.70:0.61:0.64","None"
3,"COMPLETED","Frontier","Frontier","1-1073:1110-1111:2049-2051:5248-5282",256.465,256.493,256.493,8494.87,0.0278631,0,8238.38,"0.00:0.68:0.00:0.71:0.53:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Aurora","1142-2048:2052-2351:2356-2357:2362-2971:4097-4103:5082-5098",428.274,428.286,428.286,4260.29,0.0116895,0,3832,"0.00:0.71:0.00:0.67:0.00:0.62","None"
5,"COMPLETED","Aurora","Aurora","2972-4096:4104-5081:5099-5131:8193-8206:10268-10302",503.63,503.68,503.68,4359.68,0.0501631,0,3856,"0.00:0.66:0.00:0.66:0.00:0.61","None"
6,"COMPLETED","Frontier","Frontier","1074-1109:1112-1937:2358-2361",519.809,519.826,519.826,10496,0.0172645,0,9976.16,"0.00:0.54:0.00:0.67:0.54:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-406:542",534.505,534.529,534.529,18626.4,0.0241092,0,18091.8,"0.54:0.60:0.00:0.64:0.61:0.65","None"
8,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1018:1025:1110-1111",579.44,579.455,579.455,12564.8,0.0154675,0,11985.4,"0.00:0.55:0.00:0.57:0.59:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Frontier","1938-2048:2052-2357:2362-3090:4097-4103:5088-5096",618.9,618.92,618.92,7870.41,0.0201144,0,7251.49,"0.00:0.61:0.00:0.64:0.31:0.59","None"
10,"COMPLETED","Perlmutter-Phase-1","Frontier","3091-3759",829.959,829.974,829.974,10366.3,0.0145123,0,9536.35,"0.00:0.61:0.00:0.61:0.33:0.00","None"
11,"COMPLETED","Perlmutter-Phase-2","Aurora","5132-6872",1154.8,1154.81,1154.81,6850.81,0.00821235,0,5696,"0.00:0.60:0.00:0.57:0.00:0.58","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","407-541:543-1393:2049-2051:2358-2361",1275.28,1275.3,1275.3,11744.7,0.0140831,0,10469.4,"0.00:0.55:0.00:0.58:0.30:0.59","None"
13,"COMPLETED","Frontier","Frontier","3760-4096:4104-4605:8193-8206",1355.43,1355.44,1355.44,10763.1,0.0177345,0,9407.63,"0.00:0.56:0.00:0.59:0.33:0.00","None"
14,"COMPLETED","Andes","Andes","1-592",1477.93,1477.95,1477.95,48227.9,0.0166041,0,46750,"0.56:0.55:0.00:0.54:0.32:0.51","None"
15,"COMPLETED","Perlmutter-Phase-1","Aurora","6873-7736",1582.05,1582.05,1582.05,6118.05,0.00892539,0,4536,"0.00:0.55:0.00:0.55:0.30:0.48","None"
16,"COMPLETED","Perlmutter-Phase-1","Frontier","4606-5087:5097-5247:5283-5647",2275.57,2275.61,2275.61,10170.7,0.0349963,0,7895.11,"0.00:0.53:0.00:0.55:0.31:0.47","None"
17,"COMPLETED","Frontier","Frontier","5648-6288",2365.19,2365.2,2365.2,9917.05,0.0144921,0,7551.85,"0.00:0.49:0.00:0.53:0.25:0.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Aurora","7737-8192:8207-8431",2400.66,2400.68,2400.68,8344.68,0.0117045,0,5944,"0.25:0.52:0.00:0.49:0.30:0.50","None"
19,"COMPLETED","Aurora","Frontier","6289-7748",2537.93,2537.96,2537.96,8598.75,0.0339343,0,6060.79,"0.00:0.49:0.00:0.50:0.31:0.48","None"
20,"COMPLETED","Aurora","Aurora","8432-9158",2614.79,2614.8,2614.8,7926.8,0.0131311,0,5312,"0.00:0.51:0.00:0.45:0.31:0.51","None"
21,"COMPLETED","Frontier","Aurora","9159-9904",3835.7,3835.72,3835.72,10555.7,0.0194735,0,6720,"0.00:0.48:0.00:0.47:0.33:0.00","None"
22,"COMPLETED","Aurora","Perlmutter-Phase-2","1-2970",4205.14,4205.17,18626.4,28177.4,0.0280524,14421.2,9551.02,"0.00:0.33:0.00:0.31:0.00:0.37","None"
23,"COMPLETED","Aurora","Aurora","1142-2048:2052-2092:4097-4103",4292.57,4292.59,4292.59,9724.59,0.0205235,0,5432,"0.00:0.54:0.00:0.37:0.25:0.00","None"
24,"COMPLETED","Aurora","Aurora","2093-2351:2356-2357:2362-2375:5082-5098",4327.57,4327.59,4327.59,12431.6,0.0170305,0,8104,"0.00:0.51:0.00:0.39:0.34:0.00","None"
25,"COMPLETED","Aurora","Aurora","481-535:537-541:543-1141:2049-2051:2352-2355:2358-2361:2376-2630",6203.04,6203.06,6203.06,10643.1,0.0227445,0,4440,"0.00:0.60:0.00:0.44:0.32:0.00","None"
26,"COMPLETED","Frontier","Frontier","1-2244:2358-2361:4097-4103:5248-5282",29307,29307,29307,34177.1,0.0241871,0,4870.08,"0.00:0.68:0.00:0.70:0.00:0.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Aurora","1-696:1025:1104-1105:1110-1111",40343.9,40343.9,40343.9,47047.9,0.0367335,0,6704,"0.27:0.75:0.00:0.70:0.60:0.64","None"
28,"COMPLETED","Aurora","Aurora","697-1024:1026-1103:1106-1109:1112-1307:2049-2051:2352-2355:2358-2361",40808.3,40808.3,40808.3,47264.3,0.0331985,0,6456,"0.27:0.73:0.00:0.70:0.61:0.64","None"
