JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000597436,0.000597436,939.601,0.000597436,0,939.6,"0.77:0.78:0.76:0.00:0.88:0.81","None"
2,"COMPLETED","Frontier","Frontier",0,0.000409084,0.000409084,1562.93,0.000409084,0,1562.93,"0.00:0.00:0.00:0.00:0.00:0.87","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,4801.11,0.000427535,0,3801.67,"0.00:0.00:0.76:0.00:0.00:0.81","None"
4,"COMPLETED","Crux","Frontier",3600,3600,3600,6674.37,0.000584519,0,3074.37,"0.77:0.73:0.80:0.77:0.80:0.85","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,5996.29,0.000259084,0,1285.1,"0.00:0.00:0.00:0.00:0.00:0.87","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,9286.27,0.000415084,0,3018.59,"0.00:0.00:0.00:0.00:0.00:0.86","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,10679,0.000411084,0,3503.46,"0.00:0.00:0.00:0.00:0.00:0.85","None"
8,"COMPLETED","Andes","Andes",9786.87,9786.87,9786.87,11244.9,0.000587535,0,1458,"0.87:0.70:0.76:0.00:0.78:0.80","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,11600,0.000588535,0,1759.9,"0.00:0.00:0.88:0.00:0.00:0.84","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10928.1,0.000406084,0,570.679,"0.00:0.00:0.00:0.00:0.00:0.75","None"
11,"COMPLETED","Andes","Frontier",10774.4,10774.4,10774.4,12188.2,0.000600535,0,1413.83,"0.75:0.71:0.76:0.00:0.79:0.81","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,12408,0.000597535,0,1608,"0.00:0.92:0.85:0.00:0.00:0.85","None"
13,"COMPLETED","Andes","Perlmutter-Phase-2",10839.3,10839.3,10839.3,18890.1,0.000602535,0,8050.8,"0.67:0.76:0.76:0.00:0.88:0.80","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",11310.8,11310.8,11310.8,15880.4,0.000592499,0,4569.6,"0.00:0.65:0.75:0.00:0.89:0.76","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,15760.2,0.000420084,0,3040.05,"0.00:0.00:0.00:0.00:0.00:0.88","None"
16,"COMPLETED","Andes","Andes",14996.3,14996.3,14996.3,15945.5,0.000600535,0,949.2,"0.87:0.70:0.76:0.00:0.73:0.81","None"
17,"COMPLETED","Andes","Perlmutter-Phase-2",15307.7,15307.7,15307.7,17224.1,0.000604535,0,1916.4,"0.66:0.78:0.76:0.00:0.83:0.81","None"
18,"COMPLETED","Aurora","Aurora",15879,15879,15879,16783.9,0.000602535,0,904.904,"0.00:0.00:0.95:0.00:0.00:0.85","None"
19,"COMPLETED","Andes","Frontier",15956,15956,15956,16860.3,0.000609535,0,904.291,"0.77:0.70:0.76:0.00:0.76:0.89","None"
20,"COMPLETED","Crux","Frontier",16098.5,16098.5,16098.5,17327.9,0.00060168,0,1229.32,"0.77:0.73:0.80:0.77:0.79:0.85","None"
21,"COMPLETED","Andes","Frontier",16116.5,16116.5,16116.5,20452.4,0.000591535,0,4335.88,"0.78:0.71:0.76:0.00:0.77:0.89","None"
22,"COMPLETED","Frontier","Frontier",16389.4,16389.4,16389.4,18811.6,0.000408084,0,2422.17,"0.00:0.00:0.00:0.00:0.00:0.88","None"
23,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,17688.5,0.000587535,0,1270.08,"0.00:0.00:0.75:0.00:0.00:0.87","None"
24,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17518.4,0.000588535,0,240.865,"0.00:0.86:0.88:0.00:0.00:0.85","None"
25,"COMPLETED","Frontier","Aurora",17471.4,17471.4,17471.4,18529.8,0.000529267,0,1058.37,"0.00:0.00:0.91:0.00:0.00:0.88","None"
26,"COMPLETED","Frontier","Frontier",17516,17516,17516,19522,0.000395084,0,2005.96,"0.00:0.00:0.00:0.00:0.00:0.85","None"
27,"COMPLETED","Frontier","Frontier",18278.3,18278.3,18278.3,20108.4,0.000587535,0,1830.04,"0.00:0.00:0.75:0.00:0.00:0.79","None"
28,"COMPLETED","Frontier","Frontier",18382.1,18382.1,18382.1,20367.7,0.000591535,0,1985.58,"0.00:0.00:0.85:0.00:0.00:0.94","None"
29,"COMPLETED","Andes","Perlmutter-Phase-2",18638.6,18638.6,18638.6,19513.4,0.000647392,0,874.8,"0.79:0.79:0.76:0.00:0.88:0.80","None"
30,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,19992.7,0.000401084,0,1330.15,"0.00:0.00:0.00:0.00:0.00:0.82","None"
31,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,19112.1,0.000592535,0,407.019,"0.00:0.83:0.96:0.00:0.00:0.82","None"
32,"COMPLETED","Frontier","Frontier",18835.7,18835.7,18835.7,19692.8,0.000401084,0,857.092,"0.00:0.00:0.00:0.00:0.00:0.83","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19256,19256,19256,20139.2,0.000582535,0,883.2,"0.00:0.87:0.84:0.00:0.00:0.57","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",19297.1,19297.1,19297.1,20349.5,0.000589535,0,1052.4,"0.00:0.52:0.75:0.00:0.89:0.48","None"
35,"COMPLETED","Perlmutter-Phase-1","Frontier",19522.7,19522.7,19522.7,21880.5,0.000584535,0,2357.81,"0.00:0.59:0.85:0.00:0.00:0.90","None"
36,"COMPLETED","Frontier","Frontier",19873.8,19873.8,19992.7,20907.7,0.000465084,118.815,915.018,"0.00:0.00:0.00:0.00:0.00:0.62","None"
37,"COMPLETED","Andes","Perlmutter-Phase-2",19934.5,19934.5,19934.5,24333.7,0.000649392,0,4399.2,"0.77:0.57:0.76:0.00:0.86:0.79","None"
38,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",20395.9,20395.9,20395.9,20959.9,0.000593499,0,564,"0.00:0.75:0.76:0.00:0.84:0.76","None"
39,"COMPLETED","Frontier","Frontier",20685.9,20685.9,20685.9,22516,0.000422084,0,1830.04,"0.00:0.00:0.00:0.00:0.00:0.87","None"
40,"COMPLETED","Perlmutter-Phase-1","Frontier",20734.5,20734.5,20734.5,23674.8,0.000659392,0,2940.29,"0.00:0.77:0.76:0.00:0.84:0.84","None"
41,"COMPLETED","Perlmutter-Phase-2","Frontier",21005.4,21005.4,21005.4,22486.8,0.000639392,0,1481.41,"0.76:0.76:0.76:0.00:0.84:0.85","None"
42,"COMPLETED","Frontier","Frontier",21086.8,21086.8,21086.8,25535.3,0.000422084,0,4448.51,"0.00:0.00:0.00:0.00:0.00:0.93","None"
43,"COMPLETED","Frontier","Frontier",21157.7,21157.7,21157.7,22718.5,0.000415084,0,1560.79,"0.00:0.00:0.00:0.00:0.00:0.87","None"
44,"COMPLETED","Crux","Perlmutter-Phase-2",21488.7,21488.7,21488.7,22592.7,0.000591535,0,1104,"0.77:0.81:0.80:0.77:0.90:0.77","None"
45,"COMPLETED","Aurora","Aurora",21503.2,21503.2,21503.2,22684.7,0.000597535,0,1181.54,"0.00:0.00:0.88:0.00:0.00:0.83","None"
46,"COMPLETED","Frontier","Frontier",21648.4,21648.4,21648.4,25998.2,0.000410084,0,4349.82,"0.00:0.00:0.00:0.00:0.00:0.83","None"
47,"COMPLETED","Aurora","Aurora",21678,21678,21678,21971.3,0.000601535,0,293.365,"0.00:0.00:0.95:0.00:0.00:0.79","None"
48,"COMPLETED","Aurora","Aurora",21926.6,21926.6,21926.6,22505,0.000590535,0,578.365,"0.00:0.00:0.78:0.00:0.00:0.77","None"
49,"COMPLETED","Frontier","Frontier",22430.9,22430.9,22430.9,23326.6,0.000415084,0,895.709,"0.00:0.00:0.00:0.00:0.00:0.80","None"
50,"COMPLETED","Aurora","Aurora",22502.4,22502.4,22502.4,22788.3,0.000640535,0,285.865,"0.00:0.80:0.95:0.00:0.00:0.58","None"
51,"COMPLETED","Aurora","Aurora",22566.7,22566.7,22566.7,22839.3,0.000665535,0,272.596,"0.00:0.82:0.96:0.00:0.00:0.82","None"
52,"COMPLETED","Crux","Crux",22684.6,22684.6,22684.6,23768.2,0.000653535,0,1083.6,"0.87:0.73:0.80:0.87:0.79:0.75","None"
53,"COMPLETED","Frontier","Aurora",22797.5,22797.5,22797.5,23078.7,0.000536352,0,281.25,"0.00:0.00:0.92:0.00:0.00:0.87","None"
54,"COMPLETED","Andes","Andes",22978.5,22978.5,22978.5,23955.3,0.000637535,0,976.8,"0.87:0.70:0.76:0.00:0.77:0.78","None"
55,"COMPLETED","Frontier","Frontier",23547.7,23547.7,23547.7,24457.4,0.000466084,0,909.654,"0.00:0.00:0.00:0.00:0.00:0.86","None"
56,"COMPLETED","Frontier","Frontier",23872.7,23872.7,23872.7,28707.4,0.000399084,0,4834.68,"0.00:0.00:0.00:0.00:0.00:0.78","None"
57,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",24149,24149,24149,28706.6,0.000651535,0,4557.6,"0.00:0.82:0.76:0.00:0.92:0.74","None"
58,"COMPLETED","Frontier","Aurora",24237.6,24237.6,24237.6,24588.7,0.000524352,0,351.058,"0.00:0.00:0.91:0.00:0.00:0.86","None"
59,"COMPLETED","Perlmutter-Phase-2","Frontier",24289.4,24289.4,24289.4,25712.8,0.000586535,0,1423.48,"0.00:0.70:0.75:0.00:0.77:0.79","None"
60,"COMPLETED","Frontier","Aurora",24441.8,24441.8,24441.8,24745,0.000525352,0,303.173,"0.00:0.00:0.91:0.00:0.00:0.83","None"
61,"COMPLETED","Aurora","Aurora",24712.4,24712.4,24712.4,25818.6,0.000588535,0,1106.25,"0.00:0.00:0.93:0.00:0.00:0.79","None"
62,"COMPLETED","Frontier","Frontier",24770.3,24770.3,25535.3,26479.2,0.000400084,764.974,943.981,"0.00:0.00:0.00:0.00:0.00:0.52","None"
63,"COMPLETED","Frontier","Frontier",24811,24811,25998.2,27849.7,0.000405084,1187.26,1851.49,"0.00:0.00:0.00:0.00:0.00:0.63","None"
64,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25149.3,25149.3,25149.3,26854.5,0.000596535,0,1705.2,"0.00:0.00:0.74:0.00:0.77:0.52","None"
65,"COMPLETED","Frontier","Frontier",25195.5,25195.5,25712.8,28672.4,0.000411084,517.394,2959.59,"0.00:0.00:0.00:0.00:0.00:0.66","None"
66,"COMPLETED","Frontier","Frontier",25283.4,25283.4,25283.4,26101.9,0.000600535,0,818.474,"0.00:0.00:0.75:0.00:0.00:0.78","None"
67,"COMPLETED","Perlmutter-Phase-2","Aurora",25299.9,25299.9,25299.9,26273.8,0.000602535,0,973.846,"0.00:0.72:0.75:0.00:0.66:0.62","None"
68,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",25332.3,25332.3,25332.3,26767.5,0.000610535,0,1435.2,"0.00:0.94:0.86:0.00:0.00:0.84","None"
