JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,862.455,5.24834e-05,0,862.455,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,111.561,5.24834e-05,0,111.561,"1.00","None"
3,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,758.403,5.24834e-05,0,758.403,"1.00","None"
4,"COMPLETED","Aurora","Aurora",0,5.22617e-05,5.22617e-05,25.6731,5.22617e-05,0,25.6731,"1.00","None"
5,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,51.4899,5.24834e-05,0,51.4899,"1.00","None"
6,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,744.458,5.24834e-05,0,744.458,"1.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.22174e-05,5.22174e-05,1272,5.22174e-05,0,1272,"1.00","None"
8,"COMPLETED","Aurora","Aurora",0,5.22617e-05,5.22617e-05,192.404,5.22617e-05,0,192.404,"1.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.22174e-05,5.22174e-05,944.4,5.22174e-05,0,944.4,"1.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.22174e-05,5.22174e-05,932.4,5.22174e-05,0,932.4,"1.00","None"
11,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,503.099,5.24834e-05,0,503.099,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.22174e-05,5.22174e-05,138,5.22174e-05,0,138,"1.00","None"
13,"COMPLETED","Aurora","Aurora",0,5.22617e-05,5.22617e-05,209.135,5.22617e-05,0,209.135,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.22174e-05,138,1170,5.22174e-05,138,1032,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.22174e-05,1170,1929.6,5.22174e-05,1170,759.6,"1.00","None"
16,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,628.606,5.24834e-05,0,628.605,"1.00","None"
17,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.22174e-05,5.22174e-05,584.4,5.22174e-05,0,584.4,"1.00","None"
18,"COMPLETED","Aurora","Aurora",0,5.22617e-05,5.22617e-05,204.808,5.22617e-05,0,204.808,"1.00","None"
