JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,509.535,5.71832e-05,0,509.535,"1.00","None"
2,"COMPLETED","Andes","Andes",0,5.35918e-05,5.35918e-05,74.4001,5.35918e-05,0,74.4,"1.00","None"
3,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,333.611,5.71832e-05,0,333.611,"1.00","None"
4,"COMPLETED","Crux","Crux",0,5.34588e-05,5.34588e-05,81.6001,5.34588e-05,0,81.6,"1.00","None"
5,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,441.955,5.71832e-05,0,441.955,"1.00","None"
6,"COMPLETED","Andes","Andes",0,5.35918e-05,5.35918e-05,318,5.35918e-05,0,318,"1.00","None"
7,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,175.2,5.67398e-05,0,175.2,"1.00","None"
8,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,4.32698,5.75379e-05,0,4.32692,"1.00","None"
9,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,86.8892,5.71832e-05,0,86.8892,"1.00","None"
10,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,259.595,5.71832e-05,0,259.595,"1.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,25.2001,5.67398e-05,0,25.2,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,127.2,5.67398e-05,0,127.2,"1.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,24.0001,5.67398e-05,0,24,"1.00","None"
14,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,17.8847,5.75379e-05,0,17.8846,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,348,5.67398e-05,0,348,"1.00","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,637.2,5.67398e-05,0,637.2,"1.00","None"
17,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,131.827,5.75379e-05,0,131.827,"1.00","None"
18,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,20.3815,5.71832e-05,0,20.3814,"1.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,50.4001,5.67398e-05,0,50.4,"1.00","None"
20,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.41682e-05,5.41682e-05,306,5.41682e-05,0,306,"1.00","None"
21,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,20.1924,5.75379e-05,0,20.1923,"1.00","None"
22,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,40.6731,5.75379e-05,0,40.6731,"1.00","None"
23,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,79.2001,5.67398e-05,0,79.2,"1.00","None"
24,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,4.9039,5.75379e-05,0,4.90385,"1.00","None"
25,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,30.2885,5.75379e-05,0,30.2885,"1.00","None"
26,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,539.571,5.71832e-05,0,539.571,"1.00","None"
27,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,113.707,5.71832e-05,0,113.707,"1.00","None"
28,"COMPLETED","Crux","Crux",0,5.34588e-05,88.8001,180,5.34588e-05,88.8,91.2,"1.00","None"
29,"COMPLETED","Andes","Andes",0,5.35918e-05,5.35918e-05,22.8001,5.35918e-05,0,22.8,"1.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,222,5.67398e-05,0,222,"1.00","None"
31,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,123.75,5.75379e-05,0,123.75,"1.00","None"
32,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,41.2501,5.75379e-05,0,41.25,"1.00","None"
33,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,418.355,5.71832e-05,0,418.355,"1.00","None"
34,"COMPLETED","Andes","Andes",0,5.35918e-05,5.35918e-05,212.4,5.35918e-05,0,212.4,"1.00","None"
35,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,164.712,5.75379e-05,0,164.712,"1.00","None"
36,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,66.5078,5.71832e-05,0,66.5077,"1.00","None"
37,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,127.652,5.71832e-05,0,127.652,"1.00","None"
38,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,12.1154,5.75379e-05,0,12.1154,"1.00","None"
39,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,305.721,5.71832e-05,0,305.721,"1.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,48.0001,5.67398e-05,0,48,"1.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,126,5.67398e-05,0,126,"1.00","None"
42,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,164.124,5.71832e-05,0,164.124,"1.00","None"
43,"COMPLETED","Crux","Crux",0,5.34588e-05,180,981.6,5.34588e-05,180,801.6,"1.00","None"
44,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,32.0193,5.75379e-05,0,32.0192,"1.00","None"
45,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.41682e-05,5.41682e-05,770.4,5.41682e-05,0,770.4,"1.00","None"
46,"COMPLETED","Andes","Andes",0,5.35918e-05,5.35918e-05,26.4001,5.35918e-05,0,26.4,"1.00","None"
47,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,153.6,5.67398e-05,0,153.6,"1.00","None"
48,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.67398e-05,5.67398e-05,310.8,5.67398e-05,0,310.8,"1.00","None"
49,"COMPLETED","Andes","Andes",0,5.35918e-05,5.35918e-05,120,5.35918e-05,0,120,"1.00","None"
50,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.41682e-05,5.41682e-05,129.6,5.41682e-05,0,129.6,"1.00","None"
51,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,122.885,5.75379e-05,0,122.885,"1.00","None"
52,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.41682e-05,5.41682e-05,56.4001,5.41682e-05,0,56.4,"1.00","None"
53,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,115.852,5.71832e-05,0,115.852,"1.00","None"
54,"COMPLETED","Frontier","Frontier",0,5.71832e-05,5.71832e-05,131.943,5.71832e-05,0,131.943,"1.00","None"
55,"COMPLETED","Aurora","Aurora",0,5.75379e-05,5.75379e-05,57.1154,5.75379e-05,0,57.1154,"1.00","None"
